userId,date,deviceCategory,sourceMedium,experimentVariant,clickButtonOnMain,sessionDuration
1,2019-11-27,desktop,(direct) / (none),0,1,"123,109765"
2,2019-11-27,mobile,maz.com / referral,1,1,"135,6040006"
3,2019-11-27,mobile,(direct) / (none),1,1,"134,4510166"
4,2019-11-27,desktop,google / organic,1,1,"130,6910866"
5,2019-11-27,mobile,google / organic,0,1,"117,6173112"
6,2019-11-27,mobile,bernum.com / referral,1,1,"124,619595"
7,2019-11-27,desktop,(direct) / (none),0,1,"126,7839093"
8,2019-11-27,desktop,sendgrid / banner,1,1,"129,6917434"
9,2019-11-27,mobile,bernum.com / referral,1,1,"126,2083531"
10,2019-11-27,mobile,maz.com / referral,0,1,"123,8266944"
11,2019-11-27,tablet,google / organic,1,1,"135,4563588"
12,2019-11-27,desktop,google / organic,0,1,"115,8366519"
13,2019-11-27,mobile,(direct) / (none),1,1,"135,2642881"
14,2019-11-27,desktop,maz.com / referral,1,1,"123,1805292"
15,2019-11-27,desktop,google / organic,1,1,"148,441645"
16,2019-11-27,mobile,maz.com / referral,1,1,"125,8015765"
17,2019-11-27,desktop,blog / table_post,1,1,"140,1672542"
18,2019-11-27,mobile,bernum.com / referral,0,1,"122,3583464"
19,2019-11-27,desktop,bernum.com / referral,1,1,"133,1557124"
20,2019-11-26,mobile,google / organic,1,1,"149,022955"
21,2019-11-26,desktop,bernum.com / referral,0,1,"113,9764167"
22,2019-11-26,tablet,maz.com / referral,0,1,"118,8433191"
23,2019-11-26,mobile,google / organic,1,1,"143,1788573"
24,2019-11-26,desktop,(direct) / (none),1,1,"138,6839736"
25,2019-11-26,mobile,google / cpc,1,1,"132,2936109"
26,2019-11-26,mobile,maz.com / referral,0,1,"108,780025"
27,2019-11-26,mobile,google / cpc,1,1,"127,5333476"
28,2019-11-26,mobile,bernum.com / referral,0,1,"118,5199324"
29,2019-11-26,desktop,google / organic,0,1,"124,8943353"
30,2019-11-26,desktop,duckduckgo / organic,0,1,"117,332884"
31,2019-11-26,tablet,google / organic,0,1,"123,7362274"
32,2019-11-26,mobile,bernum.com / referral,0,1,"113,8476259"
