user_id,purchase,pay_dt
00743990,0.99,2022-10-06
00743990,0.99,2022-10-06
00743990,2.99,2022-10-06
00842c0f,0.99,2022-10-08
00842c0f,0.99,2022-10-08
00842c0f,2.99,2022-10-07
00842c0f,0.99,2022-10-07
00842c0f,0.99,2022-10-07
0093a7c4,0.99,2022-10-21
0093a7c4,2.99,2022-10-17
00c9bc5c,0.99,2022-10-01
00c9bc5c,0.99,2022-10-01
00c9bc5c,0.99,2022-10-01
00c9bc5c,0.99,2022-10-01
00c9bc5c,0.99,2022-10-01
00e60bf5,0.99,2022-10-05
00e8f04b,0.99,2022-10-05
00e8f04b,0.99,2022-10-05
00f55b58,0.99,2022-10-01
00f55b58,0.99,2022-10-01
00f55b58,0.99,2022-10-01
01174187,4.99,2022-10-15
011bef90,0.99,2022-10-31
011bef90,0.99,2022-10-04
012c4a61,2.99,2022-10-11
01445d4e,0.99,2022-10-05
01445d4e,2.99,2022-10-05
01445d4e,0.99,2022-10-05
01445d4e,0.99,2022-10-05
0160f1b5,4.99,2022-10-08
017d5aca,0.99,2022-10-28
019ea427,0.99,2022-10-22
01b7bda5,0.99,2022-10-19
01d654ec,0.99,2022-10-12
01d654ec,0.99,2022-10-12
01d7f3a3,0.99,2022-10-29
01de5987,0.99,2022-10-14
01de5987,0.99,2022-10-14
021dfc0c,0.99,2022-10-11
02466563,0.99,2022-10-03
025c2c1d,0.99,2022-10-03
025c2c1d,0.99,2022-10-03
025c2c1d,0.99,2022-10-03
0289b700,0.99,2022-10-29
0289b700,0.99,2022-10-29
02947d2f,0.99,2022-10-17
02947d2f,0.99,2022-10-21
02a4a1c6,0.99,2022-10-12
02abaa2a,0.99,2022-10-18
02abaa2a,2.99,2022-10-18
02b269f9,0.99,2022-10-11
02c930c7,0.99,2022-10-08
02d115bc,0.99,2022-10-11
02d115bc,0.99,2022-10-10
02da9caf,0.99,2022-10-15
02da9caf,0.99,2022-10-15
02fa887b,0.99,2022-10-06
0301bd0c,2.99,2022-10-19
0301bd0c,0.99,2022-10-19
0301bd0c,0.99,2022-10-19
0302c237,0.99,2022-10-04
030c03ec,0.99,2022-10-29
030c03ec,0.99,2022-10-30
030d9efd,0.99,2022-10-30
0312253c,0.99,2022-10-07
0312253c,2.99,2022-10-07
03163bfa,2.99,2022-10-13
03163bfa,2.99,2022-10-13
03163bfa,0.99,2022-10-13
03255ee3,2.99,2022-10-19
03277cd6,0.99,2022-10-20
03277cd6,0.99,2022-10-20
0340b838,0.99,2022-10-01
0340b838,0.99,2022-10-01
034491fd,0.99,2022-10-01
034491fd,0.99,2022-10-04
037b2e63,0.99,2022-10-18
037b2e63,0.99,2022-10-18
0383d593,4.99,2022-10-11
0383d593,0.99,2022-10-11
0383d593,0.99,2022-10-11
0383d593,0.99,2022-10-11
03890327,0.99,2022-10-02
039f89af,0.99,2022-10-01
039f89af,0.99,2022-10-01
03a649a0,0.99,2022-10-28
03e03a4d,0.99,2022-10-24
03e03a4d,0.99,2022-10-25
03f36c52,0.99,2022-10-29
03f5d8f6,0.99,2022-10-07
03f5d8f6,0.99,2022-10-07
03f88131,0.99,2022-10-22
0409f345,0.99,2022-10-31
040d4ceb,4.99,2022-10-21
041fa677,2.99,2022-10-12
041fa677,0.99,2022-10-12
044eae7a,0.99,2022-10-28
0451df4e,0.99,2022-10-21
0451df4e,0.99,2022-10-21
045edd96,0.99,2022-10-03
045edd96,0.99,2022-10-03
047dc611,4.99,2022-10-06
047dc611,0.99,2022-10-06
0489808c,0.99,2022-10-06
0489808c,0.99,2022-10-06
0489808c,0.99,2022-10-07
04929ffd,0.99,2022-10-06
0495d2a0,0.99,2022-10-17
0495d2a0,0.99,2022-10-18
04a6fc19,2.99,2022-10-28
04bda2d9,0.99,2022-10-21
04bda2d9,0.99,2022-10-18
04f8083e,0.99,2022-10-14
04f8083e,0.99,2022-10-14
04fc04f2,0.99,2022-10-13
04fc04f2,0.99,2022-10-15
04fc04f2,0.99,2022-10-15
050394fb,0.99,2022-10-25
0509be95,0.99,2022-10-27
0538dade,0.99,2022-10-29
054180b3,0.99,2022-10-24
054180b3,0.99,2022-10-24
0556ffaf,0.99,2022-10-13
0556ffaf,0.99,2022-10-13
05708dff,0.99,2022-10-09
05a951e0,0.99,2022-10-01
05c02253,2.99,2022-10-27
05c2fa01,0.99,2022-10-20
05c2fa01,0.99,2022-10-20
05d56759,0.99,2022-10-22
