user_id,media_source,version,CPI,dt
a1be8dc3,Google Adwords,0.4,0.085,2022-10-26
e6cb9cf0,Google Adwords,0.4,0.085,2022-10-20
f27c8d1a,organic,0.3,,2022-10-09
dc089d71,Facebook Ads,0.4,0.15,2022-10-23
080fb504,Google Adwords,0.4,0.085,2022-10-20
22c43d7c,organic,0.4,,2022-10-18
b31fcc20,Google Adwords,0.3,0.085,2022-10-03
ec3746ee,organic,0.3,,2022-10-09
dd55f28a,Google Adwords,0.3,0.085,2022-10-11
063707c0,Facebook Ads,0.3,0.34,2022-10-11
5c94a833,Google Adwords,0.4,0.085,2022-10-25
2920094b,Facebook Ads,0.3,0.34,2022-10-10
1468c2db,Google Adwords,0.4,0.085,2022-10-29
607aeb87,Google Adwords,0.4,0.085,2022-10-27
6220158e,Google Adwords,0.3,0.085,2022-10-03
57a6b0d4,Facebook Ads,0.4,0.15,2022-10-31
971fc2ba,Google Adwords,0.3,0.085,2022-10-14
0de99ec6,organic,0.4,,2022-10-27
91158e74,Google Adwords,0.4,0.085,2022-10-28
95ed1b7a,organic,0.4,,2022-10-29
1c1e902d,Facebook Ads,0.4,0.15,2022-10-29
4d362af5,organic,0.3,,2022-10-13
adf3206c,Google Adwords,0.4,0.085,2022-10-22
fad2a74e,Facebook Ads,0.4,0.15,2022-10-22
bfcc79be,Google Adwords,0.4,0.085,2022-10-23
457889e7,Google Adwords,0.4,0.085,2022-10-19
42e7bcd3,Facebook Ads,0.3,0.34,2022-10-09
c86d0586,Facebook Ads,0.3,0.34,2022-10-05
503ed980,Google Adwords,0.3,0.085,2022-10-02
49033c9b,Google Adwords,0.3,0.085,2022-10-05
088f2a1e,Google Adwords,0.4,0.085,2022-10-18
b42c590d,Google Adwords,0.4,0.085,2022-10-30
0c551a3d,Google Adwords,0.4,0.085,2022-10-16
0ea2ca08,Facebook Ads,0.3,0.34,2022-10-14
8207f549,Google Adwords,0.4,0.085,2022-10-31
1f0bbe69,Google Adwords,0.3,0.085,2022-10-15
26662dd0,Google Adwords,0.4,0.085,2022-10-17
69287f54,Google Adwords,0.3,0.085,2022-10-02
72b6ea4d,organic,0.3,,2022-10-09
6f92cf96,Google Adwords,0.4,0.085,2022-10-17
59b182ac,Google Adwords,0.3,0.085,2022-10-10
55087cbd,Google Adwords,0.4,0.085,2022-10-28
c82f0b7c,Facebook Ads,0.4,0.15,2022-10-26
c0c97d87,Facebook Ads,0.4,0.15,2022-10-18
4a2f4f6a,Google Adwords,0.3,0.085,2022-10-03
b46ae910,Google Adwords,0.4,0.085,2022-10-28
df7cd91c,Facebook Ads,0.4,0.15,2022-10-21
2fef5ec7,organic,0.4,,2022-10-27
c6976aca,Google Adwords,0.3,0.085,2022-10-08
ae3c4124,Google Adwords,0.4,0.085,2022-10-30
c9ae3b49,Facebook Ads,0.4,0.15,2022-10-18
9e2b026b,Google Adwords,0.3,0.085,2022-10-14
d03aeb57,Google Adwords,0.4,0.085,2022-10-21
4cbb6840,Facebook Ads,0.4,0.15,2022-10-29
735a2f87,Facebook Ads,0.4,0.15,2022-10-19
588d2e81,organic,0.4,,2022-10-25
cc90433a,Facebook Ads,0.3,0.34,2022-10-13
fe75f9d3,Google Adwords,0.3,0.085,2022-10-02
162f43f4,Facebook Ads,0.3,0.34,2022-10-14
75a36317,Google Adwords,0.4,0.085,2022-10-24
abe8926a,Facebook Ads,0.3,0.34,2022-10-03
4669ff8a,Facebook Ads,0.4,0.15,2022-10-30
39eec876,Google Adwords,0.3,0.085,2022-10-05
f5a19bd1,Facebook Ads,0.3,0.34,2022-10-14
5359c2cc,Google Adwords,0.3,0.085,2022-10-03
e73180ff,organic,0.3,,2022-10-09
6a2a3615,organic,0.4,,2022-10-19
01d9ec2d,Google Adwords,0.3,0.085,2022-10-05
fef99fd9,Facebook Ads,0.3,0.34,2022-10-15
2938dcfb,Facebook Ads,0.4,0.15,2022-10-28
508c31d5,Facebook Ads,0.3,0.34,2022-10-05
9e5213c1,Facebook Ads,0.3,0.34,2022-10-05
691ad920,Facebook Ads,0.4,0.15,2022-10-22
29b9aa67,Google Adwords,0.4,0.085,2022-10-23
feca2ca8,Facebook Ads,0.3,0.34,2022-10-12
584605ec,Google Adwords,0.4,0.085,2022-10-17
934d42cd,Google Adwords,0.4,0.085,2022-10-26
1ea2913d,Google Adwords,0.3,0.085,2022-10-03
c9f112a3,Facebook Ads,0.4,0.15,2022-10-18
8e728c44,Google Adwords,0.4,0.085,2022-10-21
58b443b9,Facebook Ads,0.3,0.34,2022-10-13
b462a38c,Facebook Ads,0.4,0.15,2022-10-28
f6b606aa,Google Adwords,0.3,0.085,2022-10-06
7f885214,Facebook Ads,0.4,0.15,2022-10-18
59b4cbf0,Google Adwords,0.4,0.085,2022-10-21
6e76d8a0,Facebook Ads,0.3,0.34,2022-10-06
63589863,Google Adwords,0.3,0.085,2022-10-06
21bfe308,Facebook Ads,0.3,0.34,2022-10-04
05358a09,Facebook Ads,0.4,0.15,2022-10-30
cd92722d,Facebook Ads,0.3,0.34,2022-10-07
4989de4f,Facebook Ads,0.4,0.15,2022-10-17
3aeb100e,Google Adwords,0.3,0.085,2022-10-10
e6d366f7,Google Adwords,0.3,0.085,2022-10-13
8924d857,Google Adwords,0.4,0.085,2022-10-30
d3e6047e,Google Adwords,0.3,0.085,2022-10-06
aaa11460,Facebook Ads,0.3,0.34,2022-10-05
5249e343,organic,0.3,,2022-10-12
7c9c991f,Facebook Ads,0.3,0.34,2022-10-08
ff4aac69,Google Adwords,0.3,0.085,2022-10-07
cb546a48,Google Adwords,0.3,0.085,2022-10-12
bf861fcc,Google Adwords,0.4,0.085,2022-10-22
68bbab2b,Google Adwords,0.4,0.085,2022-10-23
3aa8582d,Google Adwords,0.3,0.085,2022-10-13
decb8a49,Google Adwords,0.4,0.085,2022-10-22
caa6aa37,Facebook Ads,0.3,0.34,2022-10-06
bc7f87f4,Google Adwords,0.3,0.085,2022-10-08
e6ca5840,Facebook Ads,0.3,0.34,2022-10-14
224f6038,organic,0.4,,2022-10-30
a0b1b9f5,Facebook Ads,0.4,0.15,2022-10-19
e102d23e,Facebook Ads,0.4,0.15,2022-10-16
5cafcff1,Facebook Ads,0.3,0.34,2022-10-06
ce90ff14,Facebook Ads,0.4,0.15,2022-10-28
d2f15022,Facebook Ads,0.4,0.15,2022-10-26
dfc948d2,Google Adwords,0.3,0.085,2022-10-12
8ccd1f64,Google Adwords,0.4,0.085,2022-10-30
affa2e79,Facebook Ads,0.3,0.34,2022-10-04
1373b2a7,organic,0.3,,2022-10-07
7465413b,organic,0.4,,2022-10-21
6e96dfbd,Facebook Ads,0.4,0.15,2022-10-31
03d00354,Google Adwords,0.4,0.085,2022-10-23
a6c0ad29,Google Adwords,0.3,0.085,2022-10-14
cf2ca42a,Google Adwords,0.3,0.085,2022-10-12
81f18012,Facebook Ads,0.4,0.15,2022-10-20
f0e675a6,Facebook Ads,0.4,0.15,2022-10-24
801fdcbb,Facebook Ads,0.4,0.15,2022-10-27
4413bd96,Google Adwords,0.4,0.085,2022-10-27
65f6c422,Google Adwords,0.3,0.085,2022-10-10
d1efcb31,Facebook Ads,0.3,0.34,2022-10-15
868309cf,Google Adwords,0.3,0.085,2022-10-06
a22c50e5,Google Adwords,0.4,0.085,2022-10-19
1732984e,Google Adwords,0.4,0.085,2022-10-18
ad4e5a71,organic,0.4,,2022-10-30
8c458085,Facebook Ads,0.4,0.15,2022-10-16
200bddc7,Google Adwords,0.3,0.085,2022-10-02
f0a06f1e,Facebook Ads,0.3,0.34,2022-10-01
62ccc1eb,Facebook Ads,0.3,0.34,2022-10-09
a4b1ed2f,Google Adwords,0.3,0.085,2022-10-02
a217bb86,Google Adwords,0.3,0.085,2022-10-01
2964a2e4,Facebook Ads,0.4,0.15,2022-10-22
b46471df,Google Adwords,0.3,0.085,2022-10-11
dcfe2796,Facebook Ads,0.3,0.34,2022-10-09
ac5167f0,organic,0.3,,2022-10-13
118c2f83,Facebook Ads,0.4,0.15,2022-10-17
c6fe3eb2,Facebook Ads,0.3,0.34,2022-10-01
3021c477,Facebook Ads,0.3,0.34,2022-10-15
288d15bc,Facebook Ads,0.3,0.34,2022-10-06
0c0297c4,Google Adwords,0.4,0.085,2022-10-22
09a159a8,Google Adwords,0.4,0.085,2022-10-18
314ee81e,Google Adwords,0.3,0.085,2022-10-13
3053f4c0,Facebook Ads,0.4,0.15,2022-10-24
3412a890,Google Adwords,0.4,0.085,2022-10-27
1f17ef1e,Facebook Ads,0.3,0.34,2022-10-13
abda36a6,Google Adwords,0.3,0.085,2022-10-12
b50c6ae6,Google Adwords,0.4,0.085,2022-10-24
0722c931,Google Adwords,0.4,0.085,2022-10-18
b69129b0,Facebook Ads,0.4,0.15,2022-10-23
958016e7,Facebook Ads,0.3,0.34,2022-10-06
c4ce1451,Google Adwords,0.4,0.085,2022-10-21
86d6a72c,Google Adwords,0.4,0.085,2022-10-26
