user_id,login_date
0002c7b0,2019-10-23
0002db79,2019-10-10
0002db79,2019-10-11
0002db79,2019-10-11
000739f8,2019-10-12
000739f8,2019-10-13
000870df,2019-10-02
000ac615,2019-10-10
000f2535,2019-10-02
0010c64f,2019-10-01
0010c64f,2019-10-02
00117672,2019-10-01
0014de8d,2019-10-01
0015b49d,2019-10-26
0016c634,2019-10-21
00192e54,2019-10-31
001e4828,2019-10-31
001e4828,2019-11-01
001e4828,2019-11-01
001eae99,2019-10-23
0023eb0e,2019-10-21
0023eb0e,2019-10-22
00264758,2019-10-02
00264758,2019-10-03
00264758,2019-10-02
0029961d,2019-10-09
0029961d,2019-10-10
0029961d,2019-10-10
002a2c5e,2019-10-14
002d2562,2019-10-10
002d2562,2019-10-11
002d9496,2019-10-03
002e0e7e,2019-10-25
002e0e7e,2019-10-26
002e4941,2019-10-02
002e4941,2019-10-03
00304d49,2019-10-18
00309f41,2019-10-26
00353ca3,2019-10-03
00353ca3,2019-10-04
00353ca3,2019-10-04
0035dfdf,2019-10-15
00387dbf,2019-10-28
00387dbf,2019-10-29
003c1e81,2019-10-20
003ccb64,2019-10-03
003ccb64,2019-10-04
003e9df5,2019-10-18
004268ed,2019-10-11
0042780a,2019-10-15
0042780a,2019-10-16
0045f0a8,2019-10-29
0045f0a8,2019-10-30
0047fb0b,2019-10-23
00494b12,2019-10-04
00494b12,2019-10-05
00494b12,2019-10-05
004de5c5,2019-10-01
004de5c5,2019-10-02
004de5c5,2019-10-02
004f2efc,2019-10-18
005158d9,2019-10-16
005158d9,2019-10-17
005158d9,2019-10-17
0062ca55,2019-10-30
0062f015,2019-10-08
006c0453,2019-10-30
00744c83,2019-10-18
00744c83,2019-10-19
00744c83,2019-10-18
007571da,2019-10-03
0076bec4,2019-10-30
0076bec4,2019-10-31
00791e46,2019-10-06
00791e46,2019-10-06
007b8e1c,2019-10-06
007b8e1c,2019-10-07
007e8e11,2019-10-31
007e8e11,2019-10-31
00800bbe,2019-10-01
00812c31,2019-10-26
00812c31,2019-10-26
00825fb4,2019-10-07
00828b02,2019-10-10
0088a1b7,2019-10-17
0088a1b7,2019-10-18
0088a1b7,2019-10-18
008935f8,2019-10-04
008b9571,2019-10-24
008f5b93,2019-10-07
00a1755b,2019-10-27
00a1755b,2019-10-28
00a1a09e,2019-10-20
00a6610a,2019-10-30
00a6610a,2019-10-31
00a930b8,2019-10-22
00a930b8,2019-10-23
00a930b8,2019-10-23
00b308e8,2019-10-14
00b77ad7,2019-10-23
00bd2896,2019-10-23
00c26d7a,2019-10-22
00cd8720,2019-10-21
00d0b2b8,2019-10-13
00d66be8,2019-10-24
00d66be8,2019-10-25
00e06e84,2019-10-16
00e0b4fa,2019-10-14
00e0b4fa,2019-10-15
00e8f04b,2019-10-05
00ef6780,2019-10-20
00f47eb0,2019-10-19
00f55b58,2019-10-01
00f55b58,2019-10-02
00f739b1,2019-10-27
00f7b84f,2019-10-26
00f7b84f,2019-10-27
00f87b4f,2019-10-17
00f91e5c,2019-10-06
00fa288b,2019-10-19
00fa288b,2019-10-20
00fc19d1,2019-10-30
00fc19d1,2019-10-30
00fc3a30,2019-10-02
00fc3a30,2019-10-03
00fe6dda,2019-10-17
00ffe11f,2019-10-06
01002972,2019-10-10
01009133,2019-10-11
0104e4f9,2019-10-23
0108cf2f,2019-10-16
0108cf2f,2019-10-17
