user_id,ab_group,pdate,session_number,start_ts,end_ts
2JM4L+sRXYIWAFSC8XaTPg==,B,2023-05-01,1,2023-05-01T08:17:45.766570Z,2023-05-01T08:57:37.363424Z
2OgK/ukRgvkWAOaa8XaTPg==,A,2023-05-02,1,2023-05-02T12:24:33.553327Z,2023-05-02T12:37:57.761142Z
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-01,1,2023-05-01T18:58:45.338597Z,2023-05-01T19:04:19.203838Z
3E69ZO0RJrEWACi28XaTPg==,A,2023-05-04,2,2023-05-04T10:01:39.700496Z,2023-05-04T10:07:39.858666Z
3GsYmewRRswWABqG8XaTPg==,B,2023-05-03,1,2023-05-03T05:00:41.797222Z,2023-05-03T05:18:12.137282Z
4BNABuYRf+8WAKmUYvZgPg==,A,2023-05-03,1,2023-05-03T07:31:46.831712Z,2023-05-03T07:39:39.146694Z
9HKAHegRBmoWAAqW6VfbPg==,A,2023-05-01,1,2023-05-01T07:19:36.837991Z,2023-05-01T07:35:11.687785Z
CNlROesRiq0WAKmf8XaTPg==,A,2023-05-01,1,2023-05-01T13:33:03.091067Z,2023-05-01T13:50:05.085239Z
CkIBDFQ8sF2Iz2v5A1dcAg==,A,2023-05-01,1,2023-05-01T12:34:18.732048Z,2023-05-01T12:39:56.669793Z
CkIBDFQCusBsUkoQA0/DAg==,B,2023-05-01,1,2023-05-01T04:23:26.682765Z,2023-05-01T04:51:59.406590Z
CkIGrFp2re2Au0zeQYwCAg==,B,2023-05-02,1,2023-05-02T10:32:16.649703Z,2023-05-02T10:39:26.064199Z
CkIKM1be4YMPWXjKBamAAg==,B,2023-05-01,1,2023-05-01T05:53:51.224651Z,2023-05-01T06:02:46.846303Z
CkIKM1cY6SmGv0ejAy8IAg==,B,2023-05-01,1,2023-05-01T13:12:02.701327Z,2023-05-01T13:28:08.227839Z
CkIKM1cwocCjubIaDnwPAg==,B,2023-05-01,1,2023-05-01T16:08:54.894860Z,2023-05-01T17:19:39.863017Z
CkIKM1pnk3SkjyQ8HA0VAg==,B,2023-05-01,1,2023-05-01T19:22:46.146862Z,2023-05-01T19:35:40.407505Z
CkIKM1qSuvmIBfYzCFAWAg==,B,2023-05-03,1,2023-05-03T10:23:16.197177Z,2023-05-03T10:33:00.394481Z
CkZ42V1n/7iPSH2kBWNdAg==,A,2023-05-02,1,2023-05-02T14:54:36.527473Z,2023-05-02T15:16:38.799918Z
CkZ42V3CsKW4V1coA4iMAg==,B,2023-05-02,1,2023-05-02T13:56:19.382922Z,2023-05-02T14:18:15.223954Z
CkZ42Vn3YLgZ2F04CN/GAg==,B,2023-05-03,1,2023-05-03T07:40:42.492976Z,2023-05-03T08:02:33.397651Z
CkZ4xF+T9XFO1yOBBDgQAg==,A,2023-05-03,1,2023-05-03T19:42:34.934905Z,2023-05-03T20:30:05.098207Z
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-03,1,2023-05-03T09:35:14.179944Z,2023-05-03T10:01:40.758004Z
CkZ4xF8YLAlro0UVA0ZbAg==,A,2023-05-04,2,2023-05-04T05:00:49.840320Z,2023-05-04T05:19:04.366970Z
CkZ4xFaXcRQOyEu3EOV5Ag==,A,2023-05-03,1,2023-05-03T10:08:38.844971Z,2023-05-03T10:22:03.799355Z
CkZ4xFzVEkK3IkuJBTv+Ag==,A,2023-05-03,1,2023-05-03T07:40:24.186260Z,2023-05-03T07:51:09.960622Z
CmU8rmQ/AsuiNQAfA9UsAg==,B,2023-05-02,1,2023-05-02T04:20:06.517445Z,2023-05-02T04:30:56.878464Z
CmURgmPao4CAYgAfA7PGAg==,B,2023-05-01,1,2023-05-01T15:48:54.814500Z,2023-05-01T15:56:38.627883Z
CmUS5GRP3ZBhMAAgAxnPAg==,B,2023-05-01,1,2023-05-01T15:41:55.094702Z,2023-05-01T15:51:11.888329Z
CmUYg2RQBMG6vgAeAy8wAg==,B,2023-05-01,1,2023-05-01T18:28:32.711367Z,2023-05-01T18:34:18.773290Z
CmUYg2RQBoa6IwAfAzBuAg==,B,2023-05-01,1,2023-05-01T18:36:35.722884Z,2023-05-01T18:46:27.033011Z
CmUYg2RRukS6vgAeBCGGAg==,A,2023-05-03,1,2023-05-03T01:53:23.289580Z,2023-05-03T02:01:35.105579Z
CmUYg2RRxp67NwAgBCexAg==,A,2023-05-03,1,2023-05-03T02:28:40.438846Z,2023-05-03T03:05:21.281172Z
CmUfIWQv9mIVWwAfB4F4Ag==,A,2023-05-01,1,2023-05-01T14:31:23.549427Z,2023-05-01T14:39:04.627170Z
CmUu6mPawQg6igAeCnO3Ag==,A,2023-05-03,1,2023-05-03T12:41:46.664266Z,2023-05-03T12:51:41.432088Z
CmYBEmRS7EKikQAhA1n1Ag==,B,2023-05-03,1,2023-05-03T23:20:40.305614Z,2023-05-03T23:26:08.101939Z
Cmo/7GRL8d0T+QAhAwnBAg==,A,2023-05-01,1,2023-05-01T07:40:38.564023Z,2023-05-01T07:50:53.168909Z
Cmo/7GRL8d0T+QAhAwnBAg==,A,2023-05-01,2,2023-05-01T12:05:13.185990Z,2023-05-01T12:22:25.572627Z
Cmo3C2RPf7ONpQAfAwcaAg==,A,2023-05-01,1,2023-05-01T09:08:36.176222Z,2023-05-01T09:17:23.291152Z
Cmo3C2RPftCNpQAfAwS3Ag==,B,2023-05-01,1,2023-05-01T08:57:42.563465Z,2023-05-01T09:12:03.695906Z
Cmo3C2RPftCNpQAfAwS3Ag==,B,2023-05-08,2,2023-05-08T21:50:39.833365Z,2023-05-08T21:58:34.540785Z
Cmo3C2RPftCNpQAfAwS3Ag==,B,2023-05-08,3,2023-05-08T23:02:45.553730Z,2023-05-08T23:15:23.946260Z
Cmo4IGRP+TsPogAeBMs4Ag==,A,2023-05-01,1,2023-05-01T17:40:05.865819Z,2023-05-01T17:47:15.627636Z
Cmo4IGRP+bIRpgAhBNLrAg==,B,2023-05-01,1,2023-05-01T17:41:47.623967Z,2023-05-01T17:51:06.972964Z
Cmo4IGRP+twO1AAgBNxKAg==,B,2023-05-01,1,2023-05-01T17:46:34.486685Z,2023-05-01T17:51:41.627808Z
Cmo4IGRP/DsR+gAfBOfUAg==,B,2023-05-01,1,2023-05-01T17:54:03.488445Z,2023-05-01T18:01:08.988584Z
Cmo4IGRP/TcRpgAhBO8UAg==,B,2023-05-01,1,2023-05-01T17:56:13.813380Z,2023-05-01T18:01:23.824041Z
Cmo4IGRP0A0R+gAfA8FoAg==,B,2023-05-01,1,2023-05-01T14:47:36.171342Z,2023-05-01T15:12:50.595923Z
Cmo4IGRP0LcO1AAgA80lAg==,A,2023-05-01,1,2023-05-01T14:46:48.408454Z,2023-05-01T14:53:15.315406Z
Cmo4IGRP0U8R+gAfA8j6Ag==,A,2023-05-01,1,2023-05-01T14:50:02.894464Z,2023-05-01T14:58:49.617731Z
Cmo4IGRP134R+gAfA/JKAg==,A,2023-05-01,1,2023-05-01T15:15:37.960943Z,2023-05-01T15:21:30.741579Z
Cmo4IGRP1k4PogAeA+zkAg==,B,2023-05-01,1,2023-05-01T15:13:11.573153Z,2023-05-01T15:54:47.415344Z
Cmo4IGRP2G0R+gAfA/iLAg==,A,2023-05-01,1,2023-05-01T15:19:57.148332Z,2023-05-01T15:40:28.845770Z
Cmo4IGRP45MRpgAhBEXtAg==,B,2023-05-01,1,2023-05-01T16:10:36.697266Z,2023-05-01T16:20:33.345684Z
Cmo4IGRP4G8O1AAgBDO2Ag==,B,2023-05-01,1,2023-05-01T15:53:34.178977Z,2023-05-01T15:58:58.084752Z
Cmo4IGRP6hoRpgAhBHN2Ag==,B,2023-05-01,1,2023-05-01T16:35:50.687919Z,2023-05-01T16:52:48.633541Z
Cmo4IGRP7CAO1AAgBIICAg==,B,2023-05-01,1,2023-05-01T16:44:27.300936Z,2023-05-01T16:49:41.739188Z
Cmo4IGRP7m0RpgAhBI9iAg==,A,2023-05-01,1,2023-05-01T16:53:23.670532Z,2023-05-01T17:12:02.199104Z
Cmo4IGRP8XsRpgAhBKHcAg==,A,2023-05-01,1,2023-05-01T17:06:38.234321Z,2023-05-01T17:12:12.033813Z
Cmo4IGRP96gPogAeBL/4Ag==,A,2023-05-01,1,2023-05-01T17:32:52.977921Z,2023-05-01T17:44:11.915876Z
Cmo4IGRP9JoR+gAfBLKkAg==,B,2023-05-01,1,2023-05-01T17:20:42.299406Z,2023-05-01T17:29:59.823991Z
Cmo4IGRP9JoR+gAfBLKkAg==,B,2023-05-01,2,2023-05-01T18:30:14.644731Z,2023-05-01T18:37:43.350437Z
Cmo4IGRPtOURpgAhAwuoAg==,A,2023-05-01,1,2023-05-01T12:47:43.004253Z,2023-05-01T12:54:09.381432Z
Cmo4IGRPuX4PogAeAyvxAg==,A,2023-05-01,1,2023-05-01T13:08:17.348730Z,2023-05-01T16:40:20.808525Z
Cmo4IGRPviAR+gAfA0o4Ag==,A,2023-05-01,1,2023-05-01T13:28:37.568931Z,2023-05-01T14:00:10.977687Z
Cmo4IGRPviAR+gAfA0o4Ag==,A,2023-05-01,2,2023-05-01T14:31:10.828425Z,2023-05-01T14:36:13.083936Z
Cmo4IGRPwNgO1AAgA1mlAg==,B,2023-05-01,1,2023-05-01T13:45:29.153604Z,2023-05-01T14:04:24.988394Z
Cmo4IGRPwOQRpgAhA2DDAg==,A,2023-05-01,1,2023-05-01T13:40:22.097873Z,2023-05-01T13:50:21.709955Z
Cmo4IGRPwPMPogAeA154Ag==,B,2023-05-01,1,2023-05-01T13:39:35.204653Z,2023-05-01T13:51:01.194238Z
Cmo4IGRPwkcPogAeA2gBAg==,B,2023-05-01,1,2023-05-01T13:45:18.309315Z,2023-05-01T14:08:45.169778Z
Cmo4IGRPwkcPogAeA2gBAg==,B,2023-05-01,2,2023-05-01T18:29:05.916662Z,2023-05-01T18:45:10.586316Z
Cmo4IGRPxtEPogAeA4ffAg==,B,2023-05-01,1,2023-05-01T14:04:09.474929Z,2023-05-01T14:28:41.810026Z
Cmo4IGRPyzYRpgAhA6W2Ag==,A,2023-05-01,1,2023-05-01T14:23:04.139758Z,2023-05-01T14:30:11.772124Z
Cmo4IGRPzAAO1AAgA6olAg==,B,2023-05-01,1,2023-05-01T14:27:10.715481Z,2023-05-01T14:35:15.569965Z
Cmo4IGRQ+HwR+gAfCbrWAg==,B,2023-05-02,1,2023-05-02T11:50:48.217297Z,2023-05-02T12:15:11.002650Z
Cmo4IGRQ+TgR+gAfCb8MAg==,A,2023-05-02,1,2023-05-02T11:53:42.157187Z,2023-05-02T12:01:59.854385Z
Cmo4IGRQ+YkO1AAgCagtAg==,B,2023-05-02,1,2023-05-02T11:53:28.507602Z,2023-05-02T12:17:16.832869Z
Cmo4IGRQ/+IPogAeCdQ3Ag==,B,2023-05-02,1,2023-05-02T12:20:06.183286Z,2023-05-02T12:43:19.608768Z
Cmo4IGRQ/+kRpgAhCfdLAg==,A,2023-05-02,1,2023-05-02T12:20:57.981531Z,2023-05-02T12:49:26.863164Z
Cmo4IGRQ/44RpgAhCfUcAg==,A,2023-05-02,1,2023-05-02T12:18:54.759487Z,2023-05-02T12:24:07.442102Z
Cmo4IGRQ0QIPogAeCI9XAg==,A,2023-05-02,1,2023-05-02T09:00:19.720601Z,2023-05-02T09:08:08.932632Z
Cmo4IGRQ0QIPogAeCI9XAg==,A,2023-05-05,2,2023-05-05T14:57:20.396132Z,2023-05-05T15:11:05.225816Z
Cmo4IGRQ0wYPogAeCJroAg==,B,2023-05-02,1,2023-05-02T09:09:51.627670Z,2023-05-02T09:44:55.543583Z
Cmo4IGRQ1jkRpgAhCM4aAg==,B,2023-05-02,1,2023-05-02T09:22:21.223085Z,2023-05-02T09:32:46.831107Z
Cmo4IGRQ1nUPogAeCLD/Ag==,A,2023-05-02,1,2023-05-02T09:23:55.743132Z,2023-05-02T09:33:49.982091Z
Cmo4IGRQ1nUPogAeCLD/Ag==,A,2023-05-03,2,2023-05-03T05:35:16.455993Z,2023-05-03T05:47:24.761826Z
Cmo4IGRQ1xEPogAeCLUvAg==,B,2023-05-02,1,2023-05-02T09:26:14.958233Z,2023-05-02T09:32:31.713391Z
Cmo4IGRQ2HkO1AAgCL3TAg==,B,2023-05-02,1,2023-05-02T09:32:37.897964Z,2023-05-02T09:37:58.723485Z
Cmo4IGRQ2sAO1AAgCM7aAg==,B,2023-05-02,1,2023-05-02T09:41:47.947037Z,2023-05-02T10:00:39.796136Z
Cmo4IGRQ31sRpgAhCQz9Ag==,B,2023-05-02,1,2023-05-02T10:01:10.996941Z,2023-05-02T10:11:20.794602Z
Cmo4IGRQ31sRpgAhCQz9Ag==,B,2023-05-02,2,2023-05-02T16:05:40.239437Z,2023-05-02T16:51:33.404641Z
Cmo4IGRQ3VwO1AAgCOGHAg==,A,2023-05-02,1,2023-05-02T09:53:46.338672Z,2023-05-02T10:40:09.379504Z
Cmo4IGRQ3VwO1AAgCOGHAg==,A,2023-05-04,2,2023-05-04T16:04:05.411117Z,2023-05-04T18:39:53.125981Z
Cmo4IGRQ3VwO1AAgCOGHAg==,A,2023-05-05,3,2023-05-05T13:29:24.757552Z,2023-05-05T14:14:14.636518Z
Cmo4IGRQ3VwO1AAgCOGHAg==,A,2023-05-05,4,2023-05-05T15:05:16.015116Z,2023-05-05T16:39:24.456242Z
Cmo4IGRQ3VwO1AAgCOGHAg==,A,2023-05-06,5,2023-05-06T14:57:29.032253Z,2023-05-06T15:32:23.584572Z
Cmo4IGRQ3VwO1AAgCOGHAg==,A,2023-05-07,6,2023-05-07T14:06:26.787534Z,2023-05-07T15:09:29.651177Z
Cmo4IGRQ3VwO1AAgCOGHAg==,A,2023-05-07,7,2023-05-07T16:27:19.440691Z,2023-05-07T16:42:41.453965Z
Cmo4IGRQ3roO1AAgCO0oAg==,B,2023-05-02,1,2023-05-02T09:59:49.727864Z,2023-05-02T10:05:02.044318Z
Cmo4IGRQ3roO1AAgCO0oAg==,B,2023-05-02,2,2023-05-02T10:36:57.116657Z,2023-05-02T11:03:24.085859Z
Cmo4IGRQ3roO1AAgCO0oAg==,B,2023-05-02,3,2023-05-02T11:34:25.516473Z,2023-05-02T12:21:36.223067Z
Cmo4IGRQ3roO1AAgCO0oAg==,B,2023-05-03,4,2023-05-03T06:46:39.366130Z,2023-05-03T07:01:35.154988Z
Cmo4IGRQ4cAPogAeCPzqAg==,B,2023-05-02,1,2023-05-02T10:13:29.504141Z,2023-05-02T10:59:48.304849Z
Cmo4IGRQ4hgR+gAfCRgZAg==,A,2023-05-02,1,2023-05-02T10:13:56.823322Z,2023-05-02T10:21:17.392814Z
Cmo4IGRQ5K8R+gAfCSt4Ag==,B,2023-05-02,1,2023-05-02T10:25:50.868231Z,2023-05-02T10:36:52.176044Z
Cmo4IGRQ5soRpgAhCUPhAg==,A,2023-05-02,1,2023-05-02T10:34:43.133511Z,2023-05-02T10:52:56.545325Z
Cmo4IGRQ71oRpgAhCYZ5Ag==,B,2023-05-02,1,2023-05-02T11:09:35.840101Z,2023-05-02T11:21:03.140075Z
Cmo4IGRQ7AoPogAeCUgQAg==,B,2023-05-02,1,2023-05-02T10:55:33.964814Z,2023-05-02T11:02:00.473109Z
Cmo4IGRQ7msR+gAfCXaHAg==,A,2023-05-02,1,2023-05-02T11:06:23.047636Z,2023-05-02T11:49:52.864686Z
Cmo4IGRQ81MRpgAhCaJhAg==,A,2023-05-02,1,2023-05-02T11:28:21.246550Z,2023-05-02T11:37:49.763152Z
Cmo4IGRQ8ocPogAeCXWlAg==,B,2023-05-02,1,2023-05-02T11:24:06.729125Z,2023-05-02T11:29:51.685156Z
Cmo4IGRQ9WkO1AAgCY3qAg==,A,2023-05-02,1,2023-05-02T11:36:35.164680Z,2023-05-02T11:57:28.995654Z
Cmo4IGRQ9ZUO1AAgCY8hAg==,A,2023-05-02,1,2023-05-02T11:36:29.806769Z,2023-05-02T11:53:44.420470Z
Cmo4IGRQA1wR+gAfBRQIAg==,B,2023-05-01,1,2023-05-01T18:23:52.889042Z,2023-05-01T18:40:00.101537Z
Cmo4IGRQA8kRpgAhBRj3Ag==,A,2023-05-01,1,2023-05-01T18:24:44.645920Z,2023-05-01T18:32:48.428950Z
Cmo4IGRQANcRpgAhBQWVAg==,B,2023-05-01,1,2023-05-01T18:12:17.505458Z,2023-05-01T18:23:06.908720Z
Cmo4IGRQAh8R+gAfBQ2uAg==,A,2023-05-01,1,2023-05-01T18:17:45.754854Z,2023-05-01T18:45:13.885754Z
Cmo4IGRQAh8R+gAfBQ2uAg==,A,2023-05-05,2,2023-05-05T11:31:21.560722Z,2023-05-05T11:46:45.904141Z
Cmo4IGRQAh8R+gAfBQ2uAg==,A,2023-05-05,3,2023-05-05T17:31:19.849438Z,2023-05-05T17:46:04.233656Z
Cmo4IGRQAh8R+gAfBQ2uAg==,A,2023-05-06,4,2023-05-06T16:20:08.458802Z,2023-05-06T17:40:27.202683Z
