user_id,install_date,onboarding,start_screen
96298fda,2019-10-22,test,control
a1ebd508,2019-10-14,control,control
d454a789,2019-10-21,test,control
97843c4d,2019-10-12,test,control
4ca19c7c,2019-10-15,test,test
8b476452,2019-10-17,control,test
8ec6e875,2019-10-10,test,test
b43686f5,2019-10-10,test,test
7bf84ecd,2019-10-03,test,test
7763ce5a,2019-10-13,test,control
fd9567aa,2019-10-16,control,control
a60a2bc2,2019-10-28,test,test
11c219ed,2019-10-23,test,test
234ae361,2019-10-09,control,test
afa18ece,2019-10-14,control,control
580f3f2c,2019-10-25,test,control
75b8de03,2019-10-25,control,test
b7d53d9c,2019-10-24,test,control
cf5accfa,2019-10-29,control,test
c52fc731,2019-10-16,control,test
e404a73e,2019-10-25,test,control
6ca109eb,2019-10-06,test,control
6fb11787,2019-10-21,control,test
194edbd4,2019-10-20,control,control
6f085481,2019-10-06,control,test
cc67c39f,2019-10-27,test,control
b63bd389,2019-10-21,control,test
112d159b,2019-10-18,test,test
7ee357bd,2019-10-30,test,control
43538e92,2019-10-24,test,control
d54f0fd5,2019-10-05,control,test
a2f419fb,2019-10-22,control,test
382f6d8a,2019-10-14,test,test
7baa33bc,2019-10-18,test,test
ea5ca2c0,2019-10-09,control,test
82997838,2019-10-27,control,control
38ade4e5,2019-10-13,control,control
354be248,2019-10-13,test,test
2562f888,2019-10-11,test,test
ac155649,2019-10-23,test,test
6090867d,2019-10-24,control,test
6d1bd213,2019-10-23,test,test
42e80fb4,2019-10-21,test,test
75be035b,2019-10-21,test,control
74fb77ac,2019-10-04,control,control
10f0c740,2019-10-02,test,test
c3bd831c,2019-10-10,control,control
df43f8cc,2019-10-24,control,test
cac3bdba,2019-10-12,control,control
4afd2503,2019-10-25,test,test
2584fcdb,2019-10-11,control,test
762026e7,2019-10-25,control,control
fb440ee1,2019-10-03,test,test
160a0af7,2019-10-22,control,test
52652639,2019-10-05,control,test
ce4fedb2,2019-10-23,control,test
8b57e310,2019-10-02,test,test
2075b977,2019-10-16,control,test
98ae1f3d,2019-10-19,test,control
d3cbc14a,2019-10-20,test,test
8aedf3b4,2019-10-31,control,control
d43c982d,2019-10-13,control,test
fe423c74,2019-10-10,control,control
736ad809,2019-10-26,control,test
135785f6,2019-10-05,control,control
559454d3,2019-10-23,test,test
809f2a48,2019-10-23,test,test
cd6e2fb1,2019-10-07,control,test
ee9f700e,2019-10-29,control,test
b011703f,2019-10-02,test,control
c82dfec7,2019-10-20,control,control
52e58dbb,2019-10-06,test,test
0397460c,2019-10-23,test,control
53558df5,2019-10-29,control,test
95c6e966,2019-10-12,control,test
3f97fd67,2019-10-22,test,test
875cc893,2019-10-12,control,test
09a90f84,2019-10-12,test,control
4fda9939,2019-10-23,test,test
90be6530,2019-10-04,control,test
1d153a11,2019-10-01,control,test
